Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,22,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
30,1.770429577,27,ARG,Argentina,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,22,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
2,0.848163831,22,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
2,8.144648966,27,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.502985217,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
3,0.153900966,5,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,5,OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.294846090,5,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
26,5.818722186,27,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
4,0.160771736,5,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
5,1.422250541,27,SWE,Sweden,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
3,8.976257798,27,GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
1,0.378098994,27,SGP,Singapore,Asia,South-eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,5.602345515,27,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
3,1.831457107,22,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
2,0.700888727,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
3,1.027256540,27,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
1,4.148861138,22,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
3,12.033211664,22,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
2,1.157541382,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,27,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
15,0.408731207,5,FRA,France,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
9,1.327943849,27,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
22,4.676656998,22,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,22,BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
3,1.162804219,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2010 12:00:00 AM
36,2.106534470,22,ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
6,0.347648937,5,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
8,2.289639382,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2010 12:00:00 AM
0,0,5,HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,22,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
3,0.573617057,5,SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
4,1.571644392,22,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
1,0.470214277,22,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
2,0.224423568,5,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
36,1.914146285,22,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
1,0.381498105,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
2,0.661801324,5,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
47,1.380657372,22,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
3,3.155652563,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
16,1.359741785,22,CAN,Canada,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
268,2.499184851,22,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,27,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
3,1.638511576,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
1,1.026393714,5,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
2,1.084975263,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
2,8.059154192,27,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,22,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
1,0.569759989,22,BGR,Bulgaria,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
8,0.619061603,27,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
4,1.069670301,5,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
4,0.732811449,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
16,0.739453886,22,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,22,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
3,0.324869578,27,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.340363542,27,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
8,0.123631697,5,UGA,Uganda,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
1,5.941594130,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
4,2.462910113,22,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
23,4.427568351,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,27,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
12,8.419339222,22,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,27,MCO,Monaco,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
3,1.785863108,27,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
26,4.969665924,27,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
2,13.817880337,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2011 12:00:00 AM
16,0.448256555,5,FRA,France,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
15,1.976395253,27,ECU,Ecuador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
17,1.401567695,5,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
1,53.008216274,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
3,1.784360084,27,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
1,5.731644409,27,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,5.346164127,27,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,22,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,27,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
21,0.606249217,5,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
2.969072165,1.057282812,22,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
1,2.759343828,27,GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
200,9.668512627,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,22,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
29,5.465273838,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
1,5.799286688,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
1,0.575880954,27,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
2,1.171659891,27,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
10,2.170890315,5,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
0,0,27,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
70,3.336406800,27,COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
3,0.151089050,27,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
5,3.983000554,22,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
1,27.843519421,22,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
2,0.594683235,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
3,1.119160779,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
2,12.240276630,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
1,0.551491371,22,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,JPN,Japan,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
7,0.856437782,22,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
7,3.508982996,27,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
3,0.266545951,22,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
2,3.538758250,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
1,6.521030323,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,5,VAT,Holy See,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,5,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,5,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
17,0.914470883,27,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
21,0.839909626,27,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
47,9.746447213,22,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
330,2.840462334,27,USA,United States of America,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.203643591,27,AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,22,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
2,3.720930233,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
40,5.344264135,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
4,3.232610575,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
12,0.613132846,5,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,5,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,5,TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
3,1.087009691,27,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,5,GRD,Grenada,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.824657252,27,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
