Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
5,0.172552519,22,JPN,Japan,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,5,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,2.383174786,22,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
7,0.355994050,27,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
6,1.279163598,27,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
5,3.000129006,27,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
0,0,22,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2011 12:00:00 AM
0,0,22,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
56,7.116904045,27,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,27,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,27,EST,Estonia,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
59,2.758226703,27,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
515,9.456391529,22,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
301,2.764222983,22,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
1,0.601498332,27,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,5,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
58,7.210226588,27,GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
1,0.361520483,22,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
5,0.608502730,27,GTM,Guatemala,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
1,0.459807111,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
0,0,27,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
15,5.473353889,27,SLV,El Salvador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
12,1.141561199,5,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
2,1.774103412,22,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
4,0.354264772,22,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
4,0.266197715,5,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,5,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
10,1.066146956,27,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
57,1.082810909,27,MEX,Mexico,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
5,0.397072937,27,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
20,0.905337462,22,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
12,1.465164791,27,LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
0,0,22,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2022 12:00:00 AM
14,0.546615464,27,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
13,1.402377029,27,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
21,1.129640503,27,FRA,France,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
5,1.195871850,5,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
2,0.633713561,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
1,0.531985636,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2010 12:00:00 AM
221,2.051533120,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
11,1.416416916,27,CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
